ANO4,TRIMESTRE,AGLOMERADO,CH04,CH06,ESTADO
2020,2,26,2,37,3
2020,2,26,1,1,4
2020,2,26,1,38,1
2020,2,26,2,35,1
2020,2,26,2,19,3
2020,2,26,1,15,3
2020,2,26,1,11,3
2020,2,26,1,56,1
2020,2,26,1,58,3
2020,2,26,2,65,3
2020,2,26,1,79,3
2020,2,26,2,77,3
2020,2,26,1,43,1
2020,2,26,1,58,1
2020,2,26,2,49,1
2020,2,26,2,22,3
2020,2,26,2,74,3
2020,2,26,2,50,1
2020,2,26,2,64,1
2020,2,26,1,28,1
2020,2,26,2,38,1
2020,2,26,2,7,4
2020,2,26,2,12,3
2020,2,26,1,63,3
2020,2,26,2,67,3
2020,2,26,1,42,1
2020,2,26,2,35,3
2020,2,26,2,15,3
2020,2,26,1,65,3
2020,2,26,2,64,3
2020,2,26,1,37,1
2020,2,26,1,35,1
2020,2,26,2,75,3
2020,2,26,2,46,3
2020,2,26,2,57,3
2020,2,26,2,23,1
2020,2,26,2,9,4
2020,2,26,1,2,4
2020,2,26,2,30,1
2020,2,26,2,4,4
2020,2,26,1,28,1
2020,2,26,2,27,1
2020,2,26,1,56,1
2020,2,26,2,56,1
2020,2,26,1,23,3
2020,2,26,1,59,1
2020,2,26,2,57,3
2020,2,26,1,39,1
2020,2,26,1,76,3
2020,2,26,2,75,3
2020,2,26,2,51,1
2020,2,26,2,23,3
2020,2,26,1,29,1
2020,2,27,1,14,3
2020,2,27,1,60,3
2020,2,27,2,53,3
2020,2,27,2,16,3
2020,2,27,2,14,3
2020,2,27,2,69,3
2020,2,27,1,70,1
2020,2,27,1,39,1
2020,2,27,2,35,3
2020,2,27,2,12,3
2020,2,27,1,7,4
2020,2,27,1,5,4
2020,2,27,2,2,4
2020,2,27,1,41,1
2020,2,27,2,45,1
2020,2,27,2,18,3
2020,2,27,1,15,3
2020,2,27,1,11,3
2020,2,27,2,49,1
2020,2,27,2,12,3
2020,2,27,1,10,3
2020,2,27,1,75,3
2020,2,27,2,68,3
2020,2,27,1,72,3
2020,2,27,1,77,3
2020,2,27,2,68,3
2020,2,27,1,55,1
2020,2,27,2,44,1
2020,2,27,2,2,4
2020,2,27,2,59,3
2020,2,27,2,73,3
2020,2,27,2,53,1
2020,2,27,1,61,1
2020,2,27,1,26,3
2020,2,27,2,36,1
2020,2,27,2,26,1
2020,2,27,2,52,1
2020,2,27,1,33,1
2020,2,27,2,35,1
2020,2,27,1,1,4
2020,2,27,1,62,3
2020,2,27,2,56,1
2020,2,27,1,30,1
2020,2,27,1,33,1
2020,2,27,2,34,1
2020,2,27,2,6,4
2020,2,27,1,39,1
2020,2,27,2,39,1
2020,2,27,1,14,3
2020,2,27,2,9,4
2020,2,27,1,2,4
2020,2,27,2,80,3
2020,2,27,1,27,2
2020,2,27,1,68,3
2020,2,27,2,69,3
2020,2,27,1,50,1
2020,2,27,2,52,1
2020,2,27,1,19,3
2020,2,27,2,50,1
2020,2,27,1,21,3
2020,2,27,2,19,3
2020,2,27,2,26,3
2020,2,27,2,75,3
2020,2,27,1,30,1
2020,2,27,2,27,1
2020,2,27,1,37,1
2020,2,27,2,24,3
2020,2,27,1,6,4
2020,2,27,1,4,4
2020,2,27,2,2,4
2020,2,27,2,63,3
2020,2,27,1,29,1
2020,2,27,2,16,3
2020,2,27,2,15,3
2020,2,27,2,11,3
2020,2,27,2,5,4
2020,2,27,2,1,4
2020,2,27,1,45,1
2020,2,27,2,62,3
2020,2,27,2,63,1
2020,2,27,1,60,3
2020,2,27,2,63,3
2020,2,27,2,34,1
2020,2,27,1,7,4
2020,2,27,1,72,3
2020,2,27,2,69,3
2020,2,27,2,37,1
2020,2,27,1,30,1
2020,2,27,1,26,1
2020,2,27,1,78,3
2020,2,27,1,64,3
2020,2,27,2,59,3
2020,2,27,1,32,1
2020,2,27,2,32,3
2020,2,27,1,7,4
2020,2,27,2,5,4
2020,2,27,1,46,3
2020,2,27,2,41,1
2020,2,27,1,15,3
2020,2,27,1,11,3
